(14462, 17939, 19818, 18000, False)
(16990, 19061, 19427, 19505, False)
(2944, 2083, 2186, 0, False)
(16199, 17614, 16495, 12746, False)
(10227, 10995, 15210, 14203, False)
(7268, 16862, 18011, 19084, False)
(15653, 18780, 11348, 12596, False)
(12682, 7642, 16534, 20995, False)
(15628, 11995, 15120, 17694, False)
(4544, 0, 6773, 9691, False)
(18255, 15796, 12368, 17208, False)
(18868, 18784, 18850, 19075, False)
(19873, 15498, 12923, 19333, False)
(14985, 19288, 17274, 19259, False)
(13670, 16791, 13317, 17342, False)
(19705, 15404, 16465, 17002, False)
(6546, 9350, 7411, 9361, False)
(2774, 6091, 2022, 1933, False)
(12132, 10388, 19298, 23006, False)
(19271, 17698, 12636, 12103, False)
(18012, 19814, 9109, 11883, False)
(15060, 17884, 19642, 14269, False)
(15231, 17776, 16131, 13377, False)
(18827, 17401, 17341, 17715, False)
(11846, 7563, 17953, 18749, False)
(16527, 15390, 13641, 12215, False)
(20361, 18122, 16320, 19664, False)
(17927, 17366, 17169, 16872, False)
(17375, 17802, 18059, 17413, False)
(12078, 13042, 11778, 12567, False)
(15225, 8650, 7724, 16195, False)
(17148, 18816, 9398, 8208, False)
(6691, 7491, 9087, 7455, False)
(15339, 19403, 19307, 20524, False)
(20653, 17119, 18639, 20279, False)
(21432, 17635, 19498, 20598, False)
(13050, 14864, 18069, 14650, False)
(8673, 7488, 7325, 6275, False)
(21399, 20732, 14292, 18345, False)
(19946, 21711, 19311, 18808, False)
(10247, 13013, 13181, 12900, False)
(17733, 26570, 22421, 21278, False)
(19153, 12109, 7795, 9942, False)
(6877, 8463, 11897, 6150, False)
(13071, 14598, 9771, 8385, False)
(9335, 17568, 17586, 9336, False)
(16379, 17733, 16336, 15827, False)
(8606, 10403, 6360, 7419, False)
(20136, 12141, 7456, 15787, False)
(16262, 18631, 15543, 10238, False)
(1466, 6955, 12747, 2855, False)
(18331, 12072, 12425, 16053, False)
(16444, 7582, 14619, 18406, False)
(18150, 15020, 14536, 15822, False)
(20637, 21952, 16680, 12746, False)
(16716, 18232, 14812, 11908, False)
(20697, 16139, 17952, 20175, False)
(12965, 19059, 15106, 16455, False)
(14810, 17578, 18338, 18414, False)
(19249, 15880, 19934, 16578, False)
(19567, 19921, 16107, 19314, False)
(17172, 17212, 19501, 17730, False)
(0, 995, 1412, 1040, False)
(16379, 18678, 19738, 19296, False)
(18841, 19002, 18483, 18658, False)
(9123, 18222, 8461, 6895, False)
(13424, 12952, 13198, 12998, False)
(17408, 12307, 10140, 14903, False)
(1133, 1759, 1956, 0, False)
(8713, 16643, 20699, 17874, False)
(17720, 18301, 19566, 19565, False)
(1445, 7906, 18206, 6351, False)
(15249, 16643, 16111, 15666, False)
(17889, 20296, 16438, 17396, False)
(3061, 1774, 6625, 0, False)
(12848, 14073, 12251, 13684, False)
(15808, 15059, 15496, 16192, False)
(16570, 18939, 18543, 17941, False)
(17311, 18094, 15316, 17200, False)
(10986, 19457, 14889, 16425, False)
(12004, 11587, 17131, 12253, False)
(5230, 7162, 0, 3134, False)
(1970, 1675, 2348, 0, False)
(3898, 2867, 0, 3976, False)
(15694, 17155, 19715, 19461, False)
(19443, 17876, 16159, 20013, False)
(12175, 10780, 6531, 5568, False)
(6345, 6649, 19187, 17291, False)
(20206, 19984, 14827, 16729, False)
(17636, 16164, 20061, 17919, False)
(6368, 5399, 6367, 6827, False)
(2109, 1423, 1228, 0, False)
(13634, 20853, 19820, 12960, False)
(17853, 18337, 16739, 13350, False)
(16271, 9139, 17704, 14921, False)
(10239, 20385, 19079, 13211, False)
(13379, 14885, 7372, 12040, False)
(18464, 17598, 17007, 17593, False)
(21475, 21252, 21690, 21359, False)
(8014, 11840, 8867, 1579, False)
(12710, 18660, 8233, 1827, False)
(12807, 13652, 18635, 17690, False)
(13956, 17894, 18123, 13551, False)
(20716, 19753, 11267, 12954, False)
(15526, 19473, 20074, 17656, False)
(18942, 18223, 17455, 16662, False)
(19050, 11386, 8441, 11196, False)
(13754, 15287, 11697, 17997, False)
(10537, 11674, 9064, 14547, False)
(20623, 20723, 17966, 18363, False)
(16323, 19830, 19776, 18262, False)
(7848, 13308, 12774, 7283, False)
(2952, 4401, 0, 5078, False)
(8152, 9700, 11433, 14027, False)
(16790, 17773, 20159, 17272, False)
(10254, 17652, 10158, 7596, False)
(18965, 15177, 10221, 16465, False)
(19912, 17015, 16292, 18687, False)
(8257, 7133, 11529, 8705, False)
(4443, 6343, 2243, 2310, False)
(16469, 14121, 15848, 11769, False)
(13410, 17964, 17345, 16278, False)
(6338, 2224, 3552, 0, False)
(18875, 19203, 14464, 18677, False)
(17494, 22682, 17974, 20972, False)
(4900, 0, 4594, 12118, False)
(12322, 17957, 19153, 17036, False)
(17989, 17356, 8736, 17799, False)
(19354, 17796, 13355, 17243, False)
(13115, 13092, 12669, 12240, False)
(21082, 17350, 13759, 12448, False)
(7691, 8868, 12754, 18282, False)
(2358, 6005, 11674, 6131, False)
(19878, 18046, 18518, 17590, False)
(3554, 3352, 0, 3696, False)
(0, 1590, 2891, 2328, False)
(14527, 18534, 16985, 18578, False)
(13332, 13645, 10558, 14507, False)
(17697, 16587, 11788, 14256, False)
(17969, 20331, 19644, 20264, False)
(16557, 17171, 13447, 12911, False)
(19269, 18520, 18167, 18821, False)
(16629, 18927, 4405, 15428, False)
(12347, 17372, 17873, 9318, False)
(12829, 11775, 10765, 19102, False)
(14408, 17102, 13129, 11949, False)
(10652, 10778, 7691, 8337, False)
(11388, 6775, 9975, 21492, False)
(13638, 17024, 4519, 11629, False)
(16553, 17042, 17810, 16150, False)
(7767, 13690, 15973, 8363, False)
(16676, 18167, 20021, 18315, False)
(12806, 10935, 2421, 9922, False)
(17162, 20835, 20552, 18498, False)
(0, 767, 703, 934, False)
(1978, 1487, 1357, 0, False)
(12564, 19900, 18485, 17197, False)
(19785, 18128, 12852, 15214, False)
(20342, 10049, 10038, 19133, False)
(17060, 18715, 15836, 11080, False)
(19970, 13274, 14405, 20430, False)
(18734, 16659, 13375, 14041, False)
(10280, 6889, 5723, 8655, False)
(11915, 18169, 10937, 11850, False)
(20605, 17214, 11311, 15807, False)
(20133, 20308, 19818, 19632, False)
(17776, 16510, 15672, 19781, False)
(10887, 15214, 11953, 13185, False)
(12707, 12000, 12746, 12586, False)
(2402, 8740, 2701, 2662, False)
(18283, 17610, 18309, 16752, False)
(19451, 18969, 17018, 20155, False)
(14111, 7663, 6597, 7452, False)
(13762, 16387, 11306, 1850, False)
(15464, 16365, 14061, 14851, False)
(3775, 1617, 4744, 0, False)
(7370, 11163, 17092, 9698, False)
(18479, 20687, 17969, 23006, False)
(18854, 18011, 12996, 9913, False)
(2565, 10558, 2532, 1596, False)
(0, 0, 1894, 1924, False)
(19022, 18113, 16643, 19631, False)
(17829, 16840, 17972, 17772, False)
(18157, 19267, 22455, 20420, False)
(8274, 8775, 6720, 6461, False)
(3657, 3970, 0, 5168, False)
(18883, 20455, 18385, 20793, False)
(10997, 6728, 9363, 18235, False)
(13687, 12416, 17231, 14415, False)
(6156, 17621, 20422, 16568, False)
(9306, 17871, 20825, 17542, False)
(5218, 4780, 0, 6809, False)
(4210, 4071, 0, 4464, False)
(11899, 0, 12958, 20919, False)
(2815, 11748, 2967, 1569, False)
(11241, 20465, 8892, 7376, False)
(9532, 12129, 8915, 6916, False)
(9926, 0, 7115, 18213, False)
(16750, 13136, 6595, 7390, False)
(14633, 6149, 6436, 13961, False)
(12565, 15187, 18885, 21744, False)
(13621, 15113, 5834, 11582, False)
(16928, 18689, 18441, 20984, False)
(18343, 17571, 16997, 18791, False)
(16368, 18918, 20693, 19846, False)
(19908, 11171, 7000, 8062, False)
(16245, 18391, 15032, 9895, False)
(16602, 11137, 3373, 18933, False)
(8367, 7338, 21069, 14143, False)
(10765, 21699, 19783, 17945, False)
(2277, 9179, 4153, 3555, False)
(19986, 15191, 15672, 19142, False)
(22365, 20041, 10177, 17541, False)
(15023, 20305, 16847, 15876, False)
(17368, 9017, 7501, 11667, False)
(17143, 16361, 13702, 14744, False)
(17500, 18783, 15759, 17858, False)
(19083, 8122, 18607, 18813, False)
(3311, 8029, 12682, 2832, False)
(20274, 18811, 20311, 20362, False)
(16359, 14297, 17367, 15811, False)
(15284, 17018, 17548, 15199, False)
(14155, 20414, 20396, 17413, False)
(12571, 16333, 8647, 6785, False)
(18439, 17680, 15676, 19800, False)
(19082, 17255, 13598, 17182, False)
(10340, 0, 5806, 18245, False)
(16370, 12615, 13546, 15058, False)
(8945, 8476, 16452, 12984, False)
(13000, 12090, 11317, 11767, False)
(0, 3131, 4328, 3015, False)
(0, 3350, 3326, 2015, False)
(16697, 12605, 18758, 17775, False)
(16746, 18760, 14967, 17010, False)
(16912, 16990, 16944, 17811, False)
(18829, 22063, 21501, 17496, False)
(18601, 18067, 18156, 21716, False)
(2278, 3716, 6019, 0, False)
(15013, 16890, 19586, 19845, False)
(12057, 15848, 11053, 9570, False)
(20123, 19571, 19275, 18835, False)
(15845, 16270, 16096, 16317, False)
(8746, 10820, 16419, 21860, False)
(18699, 7174, 8651, 9481, False)
(9378, 14761, 18958, 20343, False)
(14411, 14273, 18354, 14544, False)
(7264, 16302, 6601, 8913, False)
(2091, 8606, 2311, 1597, False)
(19641, 11555, 8533, 8582, False)
(15641, 16590, 15173, 16617, False)
(18806, 15032, 12362, 17208, False)
(17288, 13087, 6130, 19506, False)
(17058, 6945, 9088, 7702, False)
(19225, 19872, 19394, 18760, False)
(6543, 8615, 9237, 7219, False)
(1503, 1603, 1696, 1218, False)
(18806, 17732, 10602, 21202, False)
(17972, 11138, 6432, 15749, False)
(9600, 12948, 9713, 8086, False)
(11848, 9420, 8073, 13466, False)
(19984, 21115, 20670, 17404, False)
(11612, 17234, 18265, 18090, False)
(2559, 7392, 19159, 10574, False)
(7554, 17573, 16014, 13773, False)
(16346, 19284, 19970, 17358, False)
(17151, 20786, 14973, 21889, False)
(1740, 2266, 12478, 2756, False)
(2443, 4091, 0, 9683, False)
(11193, 6321, 11369, 12088, False)
(5065, 0, 7869, 11376, False)
(6471, 14216, 9770, 5225, False)
(11365, 14666, 14189, 11022, False)
(2864, 2390, 0, 4345, False)
(17327, 19581, 4909, 15459, False)
(20375, 20893, 19743, 19701, False)
(9840, 12275, 19644, 18911, False)
(18855, 18573, 17370, 16557, False)
(21472, 22214, 19612, 19182, False)
